Geo Point;Geo Shape;gid;libelle;ident;type;zone;comptage_5m;cdate;mdate
44.8146288, -0.5723158;"{""coordinates"": [-0.5723158, 44.8146288], ""type"": ""Point""}";2515;4 Boulevard Albert Ier - Vers rue Louis Cabié;P2.1;PONCTUEL;0;;2021-04-28T12:57:13+02:00;2024-11-06T09:24:57+01:00
44.9529648, -0.4678199;"{""coordinates"": [-0.4678199, 44.9529648], ""type"": ""Point""}";2773;21 avenue Gustave Eiffel - Vers Louis Savariaud;PA2.1;PONCTUEL;0;;2021-04-28T12:57:13+02:00;2021-04-28T12:57:13+02:00
44.8184778, -0.599143;"{""coordinates"": [-0.599143, 44.8184778], ""type"": ""Point""}";2702;12 Rue de la Médoquine - Vers Cours Maréchal Gallieni;PM.2;PONCTUEL;0;;2021-04-28T12:57:13+02:00;2021-04-28T12:57:13+02:00
44.8804129, -0.5628138;"{""coordinates"": [-0.5628138, 44.8804129], ""type"": ""Point""}";2526;Boulevard Aliénor d Aquitaine - Vers Place Latule;P7.2;PONCTUEL;0;;2021-04-28T12:57:13+02:00;2021-04-28T12:57:13+02:00
44.8147465, -0.5722943;"{""coordinates"": [-0.5722943, 44.8147465], ""type"": ""Point""}";5821;Boulevard Albert 1er vers Boulevard Roosevelt;Z12CT15;BOUCLE;12;5;2022-11-10T14:40:38+01:00;2026-09-24T10:15:00+02:00
44.7853237, -0.6435655;"{""coordinates"": [-0.6435655, 44.7853237], ""type"": ""Point""}";5791;Totem vélo Sens Entrant;Z16CT101;4G;16;;2022-06-01T15:45:43+02:00;2023-03-30T10:42:54+02:00
44.7853421, -0.643562;"{""coordinates"": [-0.643562, 44.7853421], ""type"": ""Point""}";5792;Totem vélo Sens Sortant;Z16CT102;4G;16;;2022-06-01T15:47:29+02:00;2023-03-30T10:42:14+02:00
44.8169746, -0.680985;"{""coordinates"": [-0.680985, 44.8169746], ""type"": ""Point""}";5793;Aéroport vers Crématorium;Z7CT103;4G;7;;2022-06-01T15:59:20+02:00;2023-03-30T10:45:02+02:00
44.8354075, -0.6795365;"{""coordinates"": [-0.6795365, 44.8354075], ""type"": ""Point""}";5912;Aéroport vers Bordeaux;Z30CT102;4G;30;;2025-02-14T17:28:01+01:00;2025-02-14T17:56:15+01:00
44.7765858, -0.5661006;"{""coordinates"": [-0.5661006, 44.7765858], ""type"": ""Point""}";5882;Bordeaux vers Leognan;Z19CT102;4G;19;;2024-05-29T09:36:45+02:00;2024-06-07T09:37:02+02:00
44.8904289, -0.6373876;"{""coordinates"": [-0.6373876, 44.8904289], ""type"": ""Point""}";5916;Bruges vers Le Taillan;Z23CT106;4G;23;;2025-02-14T18:01:30+01:00;2025-02-14T18:01:30+01:00
44.8423202, -0.7688106;"{""coordinates"": [-0.7688106, 44.8423202], ""type"": ""Point""}";5846;Bordeaux vers Martignas;Z7CT108;4G;7;;2023-05-02T18:37:04+02:00;2023-05-02T18:37:04+02:00
44.8579077, -0.5308794;"{""coordinates"": [-0.5308794, 44.8579077], ""type"": ""Point""}";5852;Cenon vers Bordeaux;Z8CT101;4G;8;;2023-06-05T10:26:02+02:00;2023-06-05T10:26:02+02:00
44.8781664, -0.6141567;"{""coordinates"": [-0.6141567, 44.8781664], ""type"": ""Point""}";5892;Bruges vers Hippodrome;Z23CT102;4G;23;;2024-05-29T11:49:13+02:00;2024-05-29T11:49:13+02:00
44.8909106, -0.5893063;"{""coordinates"": [-0.5893063, 44.8909106], ""type"": ""Point""}";5921;Sud vers Nord;Z23CT110;4G;23;;2025-02-20T08:22:50+01:00;2025-02-20T08:22:50+01:00
44.8214164, -0.5407447;"{""coordinates"": [-0.5407447, 44.8214164], ""type"": ""Point""}";6334;Simone Veil vers Arena;Z5CT104;4G;5;;2026-06-17T09:52:45+02:00;2026-06-17T09:52:45+02:00
44.842321, -0.5633731;"{""coordinates"": [-0.5633731, 44.842321], ""type"": ""Point""}";6161;Queyries vers Pont Chaban;Z8CT104;4G;8;;2026-01-20T11:38:48+01:00;2026-01-20T11:38:48+01:00
44.8423077, -0.5633959;"{""coordinates"": [-0.5633959, 44.8423077], ""type"": ""Point""}";6162;Queyries vers Pont de Pierre;Z8CT103;4G;8;;2026-01-20T11:40:08+01:00;2026-01-20T11:40:08+01:00
44.9564662, -0.4684253;"{""coordinates"": [-0.4684253, 44.9564662], ""type"": ""Point""}";6322;Pont Eiffel vers St Vincent de Paul;Z35CT101;4G;35;;2026-06-16T11:41:29+02:00;2026-06-16T11:41:29+02:00
44.8161976, -0.5367509;"{""coordinates"": [-0.5367509, 44.8161976], ""type"": ""Point""}";6152;Bordeaux vers Bègles;Z5CT102;4G;5;;2026-01-15T13:53:34+01:00;2026-01-15T13:53:34+01:00
44.8651218, -0.5999468;"{""coordinates"": [-0.5999468, 44.8651218], ""type"": ""Point""}";2457;22 place Gambetta - Vers Rue Emile Zola;PN2.1;PONCTUEL;0;;2021-04-28T12:57:13+02:00;2021-04-28T12:57:13+02:00
44.8220998, -0.582501;"{""coordinates"": [-0.582501, 44.8220998], ""type"": ""Point""}";2552;202 Rue St Genès - Vers Boulevards;P20.2;PONCTUEL;0;;2021-04-28T12:57:13+02:00;2021-04-28T12:57:13+02:00
44.8278869, -0.5593359;"{""coordinates"": [-0.5593359, 44.8278869], ""type"": ""Point""}";2632;Cours de la Marne - Vers Rue Malbec;P60.2;PONCTUEL;0;;2021-04-28T12:57:13+02:00;2021-04-28T12:57:13+02:00
44.8007929, -0.5953559;"{""coordinates"": [-0.5953559, 44.8007929], ""type"": ""Point""}";2694;558 Cours de la Libération - Vers Avenue du Breuil;PI.2;PONCTUEL;0;;2021-04-28T12:57:13+02:00;2021-04-28T12:57:13+02:00
44.8427608, -0.5994679;"{""coordinates"": [-0.5994679, 44.8427608], ""type"": ""Point""}";2520;134 Boulevard Wilson - Vers Rue Colmar;P4.2;PONCTUEL;0;;2021-04-28T12:57:13+02:00;2021-04-28T12:57:13+02:00
44.8578078, -0.5311389;"{""coordinates"": [-0.5311389, 44.8578078], ""type"": ""Point""}";2657;1 Avenue Carnot - Vers Parc Relais La Buttinière;P74.1;PONCTUEL;0;;2021-04-28T12:57:13+02:00;2021-04-28T12:57:13+02:00
